region,code,election,label,votes,prop
경기 수원시을,2423,2017_president,기타,30340,23.330206234716947
경기 평택시을,2424,2017_president,기타,16712,23.458731049971927
경기 화성시을,2425,2017_president,기타,9724,21.637257737923054
경기 고양시을,2421,2018_loc_pro,민주,41866,50.40331318773927
경기 부천시을,2422,2018_loc_pro,민주,63588,54.989795565394864
경기 수원시을,2423,2018_loc_pro,민주,57820,54.210654615687524
경기 평택시을,2424,2018_loc_pro,민주,27285,51.10220440881763
경기 화성시을,2425,2018_loc_pro,민주,23988,58.196462796283264
경기 고양시을,2421,2018_loc_pro,보수,19762,23.791866316727265
경기 부천시을,2422,2018_loc_pro,보수,25208,21.79943962087931
경기 수원시을,2423,2018_loc_pro,보수,24055,22.55339496334077
경기 평택시을,2424,2018_loc_pro,보수,16025,30.013297623283954
경기 화성시을,2425,2018_loc_pro,보수,6348,15.400664741987919
경기 고양시을,2421,2018_loc_pro,진보,14778,17.791529219137512
경기 부천시을,2422,2018_loc_pro,진보,15974,13.814037151060225
경기 수원시을,2423,2018_loc_pro,진보,15840,14.85120666054117
경기 평택시을,2424,2018_loc_pro,진보,5516,10.330942258348474
경기 화성시을,2425,2018_loc_pro,진보,6368,15.449186054974648
경기 고양시을,2421,2018_loc_pro,기타,6656,8.013291276395945
경기 부천시을,2422,2018_loc_pro,기타,10866,9.396727662665606
경기 수원시을,2423,2018_loc_pro,기타,8943,8.384743760430535
경기 평택시을,2424,2018_loc_pro,기타,4567,8.553555709549942
경기 화성시을,2425,2018_loc_pro,기타,4515,10.953686406754166
경기 고양시을,2421,2018_loc_gov,민주,0,0
경기 부천시을,2422,2018_loc_gov,민주,0,0
경기 수원시을,2423,2018_loc_gov,민주,0,0
경기 평택시을,2424,2018_loc_gov,민주,0,0
경기 화성시을,2425,2018_loc_gov,민주,0,0
경기 고양시을,2421,2018_loc_gov,보수,0,0
경기 부천시을,2422,2018_loc_gov,보수,0,0
경기 수원시을,2423,2018_loc_gov,보수,0,0
경기 평택시을,2424,2018_loc_gov,보수,0,0
