시/도,지역구,지역구코드,행정동,행정동코드,전체 유권자,청년층(18~39세),중년층(40~59세),고령층(65세 이상),청년 남성,청년 여성,2030 1인가구,유동인구,20대 남성,20대 여성,30대 남성,30대 여성,40대 남성,40대 여성,50대 남성,50대 여성,60대 남성,60대 여성,70대 이상 남성,70대 이상 여성
경기,고양시을,2421,행신4동,4128165600,"17,132","4,862","6,342","4,051","2,642","2,220","1,073",626,1517,1276,1125,944,1179,"1,100",2090,"1,973",1746,"1,709",961,"1,512"
경기,고양시을,2421,화전동,4128166000,"22,452","7,522","9,727","3,646","3,614","3,908","1,423",258,1323,1336,2291,"2,572",3105,"2,800",1941,"1,881",1472,"1,491",961,"1,279"
경기,고양시을,2421,대덕동,4128167000,"13,082","4,988","5,812","1,459","2,435","2,553","1,097",487,1014,985,1421,"1,568",1843,"1,645",1208,"1,116",736,672,396,478
경기,부천시을,2422,약대동,4119261000,"14,521","4,331","5,700","2,811","2,249","2,082",390,343,1081,985,1168,"1,097",1348,"1,312",1466,"1,574",1493,"1,513",676,808
경기,부천시을,2422,중동,4119262000,"18,645","5,671","6,876","4,129","2,921","2,750",851,347,1442,1370,1479,"1,380",1583,"1,598",1771,"1,924",1738,"1,970","1,045","1,345"
경기,부천시을,2422,중1동,4119263000,"35,379","13,601","13,174","5,522","6,489","7,112","4,596",481,2870,3450,3619,"3,662",3329,"3,353",3073,"3,419",2742,"2,979","1,332","1,551"
경기,부천시을,2422,중2동,4119264000,"25,429","7,594","9,413","5,749","3,783","3,811",777,281,1918,1949,1865,"1,862",2161,"2,311",2303,"2,638",2453,"2,779","1,467","1,723"
경기,부천시을,2422,중3동,4119265000,"19,333","6,379","6,569","4,264","3,104","3,275","1,335",398,1310,1447,1794,"1,828",1501,"1,628",1553,"1,887",1757,"2,061","1,053","1,514"
경기,부천시을,2422,중4동,4119266000,"15,296","5,348","5,039","3,363","2,568","2,780","1,135",430,1049,1167,1519,"1,613",1087,"1,256",1173,"1,523",1373,"1,560",782,"1,194"
경기,부천시을,2422,상동,4119267000,"15,715","4,841","5,250","3,932","2,522","2,319",993,374,1300,1164,1222,"1,155",1099,"1,129",1463,"1,559",1567,"1,632","1,068","1,357"
경기,부천시을,2422,상1동,4119268000,"20,483","6,820","7,439","4,343","3,352","3,468","1,138",404,1440,1524,1912,"1,944",1785,"1,895",1790,"1,969",1702,"2,041","1,111","1,370"
경기,부천시을,2422,상2동,4119269000,"22,982","8,145","9,466","3,291","4,033","4,112",674,508,2003,1942,2030,"2,170",2186,"2,409",2306,"2,565",1809,"1,781",777,"1,004"
경기,부천시을,2422,상3동,4119270000,"25,208","8,281","10,597","3,629","4,077","4,204","1,066",429,2283,2299,1794,"1,905",2231,"2,524",2787,"3,055",2365,"2,070",845,"1,050"
경기,수원시을,2423,율천동,4111156600,"34,925","15,279","11,661","5,336","9,005","6,274","6,607",873,5973,3966,3032,"2,308",2569,"2,540",3189,"3,363",2396,"2,335","1,377","1,877"
경기,수원시을,2423,평동,4111355000,"36,069","12,353","12,732","7,353","6,550","5,803","1,916",650,3114,2933,3436,"2,870",2882,"2,669",3451,"3,730",3265,"3,268","1,881","2,570"
경기,수원시을,2423,서둔동,4111356000,"33,577","11,307","11,832","7,124","6,137","5,170","2,805",908,3099,2811,3038,"2,359",2791,"2,336",3380,"3,325",3008,"3,087","1,800","2,543"
경기,수원시을,2423,구운동,4111365000,"20,472","6,374","7,229","4,579","3,500","2,874","1,320",310,1769,1557,1731,"1,317",1550,"1,312",2156,"2,211",2034,"2,077","1,185","1,573"
경기,수원시을,2423,금곡동,4111366200,"37,250","12,595","14,984","6,350","6,379","6,216","2,492",467,3132,3234,3247,"2,982",3665,"3,777",3585,"3,957",2793,"2,953","1,616","2,309"
